name,season,o_rapm,d_rapm,total_rapm,games,o_rapm_projected,d_rapm_projected,total_rapm_projected
Buddy Hield,2024,0.29939772917819,2.04418623200855,-1.74478850283036,82,1.0484046625722894,1.535296281300228,-0.4868916187279386
Russell Westbrook,2024,-0.0072355462104371,1.02078087837799,-1.0280164245884271,75,0.1484032042436421,0.4450902102793799,-0.29668700603573783
Anthony Edwards,2024,2.06659728072067,-1.30934325121722,3.37594053193789,79,1.2435672335119237,0.5599053061739975,0.6836619273379262
Kobe Bufkin,2024,-2.75369608574774,-0.20343492852835,-2.5502611572193903,10,-2.75369608574774,-0.2034349285283499,-2.5502611572193903
Zach Collins,2024,-1.24276765747229,0.01849979471733,-1.26126745218962,28,0.2805581459450453,0.1776613824172852,0.10289676352776009
Zach Collins,2024,-1.24276765747229,0.01849979471733,-1.26126745218962,28,0.2805581459450453,0.1776613824172852,0.10289676352776009
Zach Collins,2024,-1.24276765747229,0.01849979471733,-1.26126745218962,31,0.2805581459450453,0.1776613824172852,0.10289676352776009
Zach Collins,2024,-1.24276765747229,0.01849979471733,-1.26126745218962,31,0.2805581459450453,0.1776613824172852,0.10289676352776009
Nickeil Alexander-Walker,2024,-0.07935967016091,-0.73240098200632,0.6530413118454099,82,-0.8322653707427519,0.828492924758066,-1.660758295500818
Joel Embiid,2024,3.5688150833907097,-3.00333641677086,6.57215150016157,19,2.756777146838149,-2.982415588692229,5.739192735530377
Daniel Theis,2024,-1.32298587246804,-0.9787486285065,-0.34423724396154,38,-0.9254124504744036,-0.9062614464781292,-0.01915100399627434
Oscar Tshiebwe,2024,-0.47766047486325,0.62365399369664,-1.10131446855989,14,-0.47766047486325,0.6236539936966399,-1.10131446855989
Alex Len,2024,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,-2.092709294207545,-0.5926550379991737,-1.5000542562083714
Alex Len,2024,-1.08918852010122,-2.11949194215735,1.0303034220561298,31,-2.092709294207545,-0.5926550379991737,-1.5000542562083714
Alex Len,2024,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,-2.092709294207545,-0.5926550379991737,-1.5000542562083714
Alex Len,2024,-1.08918852010122,-2.11949194215735,1.0303034220561298,9,-2.092709294207545,-0.5926550379991737,-1.5000542562083714
Obi Toppin,2024,2.97906602463672,0.40377307305576,2.57529295158096,79,1.6550841971317218,0.51821683126743,1.1368673658642918
Jaylen Brown,2024,-0.63705742720183,-0.1239238714779,-0.51313355572393,63,-0.4087895145750897,-0.3574729068953075,-0.051316607679782245
Jalen Johnson,2024,-2.0263267738156,-0.1897484815916,-1.836578292224,36,-1.37663063094803,0.0819506884051163,-1.4585813193531463
