name,season,o_rapm,d_rapm,total_rapm,games,poss
Alan Anderson,2015,-0.93263372279794,-0.48205559335686,-0.45057812944108,13,3385
Alan Anderson,2016,-1.18283632118671,-1.64025190980081,0.45741558861410003,28,388
Alan Williams,2016,-0.14623543159632998,1.21095992759921,-1.35719535919554,42,151
Alec Burks,2014,0.7327378960486199,0.48157396435397004,0.2511639316946499,27,4178
Alec Burks,2015,0.2681237534952,1.22375296808386,-0.9556292145886599,31,1693
Alec Burks,2016,-1.21317025390412,1.2790138746633,-2.4921841285674198,41,1540
Alec Burks,2017,-0.59993029002749,1.9166035374877,-2.51653382751519,61,1266
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
Alec Burks,2018,0.06108363324109001,0.8713130191973599,-0.8102293859562699,34,2093
