name,season,o_rapm,d_rapm,total_rapm,games
Jayson Tatum,2022,4.34791623457574,-2.5184013236894,6.8663175582651395,74
Giannis Antetokounmpo,2022,2.35018952087239,-4.3501319617744105,6.7003214826468005,63
LeBron James,2022,4.85424891918026,-1.73427170378355,6.58852062296381,55
Rudy Gobert,2022,1.81605411290135,-4.54310007168509,6.35915418458644,70
Stephen Curry,2022,5.1282570834606895,-1.09535426828724,6.2236113517479295,56
Alex Caruso,2022,0.64844901128836,-5.41899808811281,6.0674470994011696,67
Cameron Payne,2022,2.86233643258107,-2.91755288723055,5.77988931981162,48
Paul George,2022,2.32324402428012,-3.2349826533570796,5.558226677637199,56
Kevin Durant,2022,3.8360132889217304,-1.5240367573340499,5.360050046255781,39
Kevin Durant,2022,3.8360132889217304,-1.5240367573340499,5.360050046255781,39
Kevin Durant,2022,3.8360132889217304,-1.5240367573340499,5.360050046255781,8
Kevin Durant,2022,3.8360132889217304,-1.5240367573340499,5.360050046255781,8
Joel Embiid,2022,2.23293088098816,-2.81993329509399,5.052864176082149,66
Chris Paul,2022,2.12669822765678,-2.8827586954735698,5.009456923130349,59
Pascal Siakam,2022,3.59947262043617,-1.26939082725007,4.86886344768624,71
Nikola Jokic,2022,4.7870091835398805,0.02187472044536,4.765134463094521,69
De'Anthony Melton,2022,1.3551631065898602,-2.95518577057929,4.31034887716915,77
Dorian Finney-Smith,2022,3.5793308735447495,-0.66418304345465,4.243513916999399,26
Dorian Finney-Smith,2022,3.5793308735447495,-0.66418304345465,4.243513916999399,26
Dorian Finney-Smith,2022,3.5793308735447495,-0.66418304345465,4.243513916999399,40
Kawhi Leonard,2023,6.30129681482107,-0.85074099458351,7.15203780940458,68
Joel Embiid,2023,4.38133661671216,-2.7239556734931303,7.1052922902052895,39
Nikola Jokic,2023,6.05387166438945,-0.78812790418445,6.8419995685739,79
Jrue Holiday,2023,4.69061348754526,-1.88420125892571,6.57481474647097,69
Paul George,2023,3.15741871873772,-3.22984284216543,6.38726156090315,74
Jayson Tatum,2023,4.7175538143292295,-1.00524083052465,5.722794644853879,74
Kevin Durant,2023,3.76851888051234,-1.76290058089557,5.531419461407911,75
Giannis Antetokounmpo,2023,2.50416689253604,-2.88485893972052,5.38902583225656,73
Stephen Curry,2023,4.5462528404667895,-0.8201146032455701,5.36636744371236,74
Alex Caruso,2023,-0.37153888730765,-4.94150807533653,4.56996918802888,71
LeBron James,2023,3.7509473932054496,-0.6422330697578199,4.39318046296327,71
Derrick White,2023,1.64715926397098,-2.70683538554063,4.35399464951161,73
Kyrie Irving,2023,5.58669851396967,1.25767243314134,4.32902608082833,58
Mike Muscala,2023,1.34551680468528,-2.9168833747675103,4.26240017945279,23
Mike Muscala,2023,1.34551680468528,-2.9168833747675103,4.26240017945279,23
Mike Muscala,2023,1.34551680468528,-2.9168833747675103,4.26240017945279,13
Mike Muscala,2023,1.34551680468528,-2.9168833747675103,4.26240017945279,13
Aaron Gordon,2023,2.5326059550295503,-1.58454367831498,4.11714963334453,73
Draymond Green,2023,1.7198199448177802,-2.27498771283057,3.99480765764835,55
Kenrich Williams,2023,1.09054804147327,-2.67630649483314,3.7668545363064103,69
Nikola Jokic,2024,6.98181956544017,-2.2835363412234098,9.26535590666358,70
Joel Embiid,2024,3.5688150833907097,-3.00333641677086,6.57215150016157,19
Paul George,2024,3.84418546838374,-2.41041282707396,6.254598295457701,41
Giannis Antetokounmpo,2024,3.7486935616905996,-2.19097056807701,5.93966412976761,67
Kyrie Irving,2024,5.3393898729381,-0.50494210802383,5.84433198096193,50
Jrue Holiday,2024,3.94232848318328,-1.2970966080017199,5.239425091185,62
Kawhi Leonard,2024,3.1483063536161198,-2.08840159875415,5.23670795237027,37
Chet Holmgren,2024,3.2615844502330598,-1.90449147477379,5.16607592500685,32
Jayson Tatum,2024,3.8865149230672498,-1.15880699496828,5.04532191803553,72
Draymond Green,2024,0.56038598119551,-4.34680450466282,4.9071904858583295,68
Kevin Durant,2024,3.78693536539854,-1.03363023409256,4.8205655994911005,62
Stephen Curry,2024,4.33332331446573,-0.46681077194054,4.80013408640627,70
LeBron James,2024,3.85547525884861,-0.708066457187,4.56354171603561,70
Derrick White,2024,1.6265363425340102,-2.72629223417802,4.35282857671203,76
Myles Turner,2024,2.8599750093183203,-1.3295957407627501,4.189570750081071,72
Delon Wright,2024,1.57790706253247,-2.51297948565994,4.09088654819241,10
Delon Wright,2024,1.57790706253247,-2.51297948565994,4.09088654819241,10
Delon Wright,2024,1.57790706253247,-2.51297948565994,4.09088654819241,25
Delon Wright,2024,1.57790706253247,-2.51297948565994,4.09088654819241,25
Sam Hauser,2024,2.39359064191557,-1.6934654514215601,4.0870560933371305,71
